OBJID,ra,dec,flux,lam,loglam,ew,redshift,class
1237667429030887990,167.01210327948473,25.374580063169027,"[0.28210348 0.28971542 0.41216063 0.5414943  0.49903231 0.41028748
 0.30142569 0.45419445 0.39024143 0.51079061 0.44917263 0.45438805
 0.46438226 0.46745235 0.55149792 0.83960501 0.55800596 0.60084016
 0.67762043 0.75710927 0.64455563 0.79003029 0.67313298 0.77174565
 0.7441448  0.77549382 0.69184114 0.8295132  0.84263429 0.68032099
 0.74124079 0.70407747 0.79644622 0.81196859 0.74293315 0.73310062
 0.82438715 0.80265857 0.85843662 0.7900645  0.88351891 0.86950424
 1.         0.81135639 0.77325822 0.86078342 0.81451903 0.83844906
 0.88719397 0.78216935 0.91677325 0.86283649 0.79723822 0.6201675
 0.8261695  0.44163313 0.27100498 0.87757407 0.         0.61695542]","[3100.         3166.10169492 3232.20338983 3298.30508475 3364.40677966
 3430.50847458 3496.61016949 3562.71186441 3628.81355932 3694.91525424
 3761.01694915 3827.11864407 3893.22033898 3959.3220339  4025.42372881
 4091.52542373 4157.62711864 4223.72881356 4289.83050847 4355.93220339
 4422.03389831 4488.13559322 4554.23728814 4620.33898305 4686.44067797
 4752.54237288 4818.6440678  4884.74576271 4950.84745763 5016.94915254
 5083.05084746 5149.15254237 5215.25423729 5281.3559322  5347.45762712
 5413.55932203 5479.66101695 5545.76271186 5611.86440678 5677.96610169
 5744.06779661 5810.16949153 5876.27118644 5942.37288136 6008.47457627
 6074.57627119 6140.6779661  6206.77966102 6272.88135593 6338.98305085
 6405.08474576 6471.18644068 6537.28813559 6603.38983051 6669.49152542
 6735.59322034 6801.69491525 6867.79661017 6933.89830508 7000.        ]","[3.49136169 3.50052486 3.50949868 3.51829082 3.5269085  3.5353585
 3.54364722 3.5517807  3.55976466 3.56760448 3.57530529 3.58287193
 3.59030898 3.59762083 3.6048116  3.61188525 3.61884554 3.62569603
 3.63244013 3.63908111 3.64562207 3.65206597 3.65841565 3.66467384
 3.67084312 3.676926   3.68292485 3.68884196 3.69467955 3.7004397
 3.70612445 3.71173576 3.71727548 3.72274544 3.72814735 3.7334829
 3.73875369 3.74396128 3.74910717 3.7541928  3.75921956 3.7641888
 3.76910183 3.7739599  3.77876423 3.78351599 3.78821632 3.79286633
 3.79746707 3.80201959 3.80652488 3.81098391 3.81539763 3.81976694
 3.82409273 3.82837585 3.83261715 3.83681743 3.84097747 3.84509804]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.6590371131896973, 1.041567325592041, -0.6906450390815735, 1.710192322731018, 0.0001773430994944647, 0.00017086589650716633, -5.024331569671631, -4.622914791107178, -0.152348592877388, -0.7588631510734558, -1.718819499015808, 0.061110030859708786, 0.203708678483963, -0.6777029633522034, 1.1015156507492065, 0.16086100041866302, 0.6875342726707458, -0.25793763995170593, -0.4093610644340515, -9.003341674804688, 0.8739113211631775, 0.7484087944030762, -1.1848279237747192, -0.3718652129173279, -5.772025108337402, 0.0]",0.4727115,GALAXY
1237667322176143863,166.89218563570518,25.502323536546168,"[0.         0.0247676  0.16897872 0.07130555 0.23960594 0.28900849
 0.03770167 0.08112356 0.3541749  0.27102703 0.19410461 0.03329837
 0.18959755 0.26558836 0.46107519 0.52926304 0.53164459 0.40573658
 0.39971496 0.44446306 0.52176351 0.57641316 0.64541854 0.60843378
 0.55465921 0.59342168 0.75154975 0.55321699 0.62775517 0.5964721
 0.6230242  0.500981   0.5771514  0.63920032 0.60753036 0.63099934
 0.48109088 0.62122838 0.69885368 0.62489231 0.71118521 0.55483423
 0.67763791 0.65448858 0.71479063 0.65780642 0.66706486 0.60436755
 0.72234855 0.64116901 0.65323367 0.65144034 0.65160153 1.
 0.62401933 0.56408336 0.77417819 0.69388415 0.35981596 0.81752807]","[3100.         3166.10169492 3232.20338983 3298.30508475 3364.40677966
 3430.50847458 3496.61016949 3562.71186441 3628.81355932 3694.91525424
 3761.01694915 3827.11864407 3893.22033898 3959.3220339  4025.42372881
 4091.52542373 4157.62711864 4223.72881356 4289.83050847 4355.93220339
 4422.03389831 4488.13559322 4554.23728814 4620.33898305 4686.44067797
 4752.54237288 4818.6440678  4884.74576271 4950.84745763 5016.94915254
 5083.05084746 5149.15254237 5215.25423729 5281.3559322  5347.45762712
 5413.55932203 5479.66101695 5545.76271186 5611.86440678 5677.96610169
 5744.06779661 5810.16949153 5876.27118644 5942.37288136 6008.47457627
 6074.57627119 6140.6779661  6206.77966102 6272.88135593 6338.98305085
 6405.08474576 6471.18644068 6537.28813559 6603.38983051 6669.49152542
 6735.59322034 6801.69491525 6867.79661017 6933.89830508 7000.        ]","[3.49136169 3.50052486 3.50949868 3.51829082 3.5269085  3.5353585
 3.54364722 3.5517807  3.55976466 3.56760448 3.57530529 3.58287193
 3.59030898 3.59762083 3.6048116  3.61188525 3.61884554 3.62569603
 3.63244013 3.63908111 3.64562207 3.65206597 3.65841565 3.66467384
 3.67084312 3.676926   3.68292485 3.68884196 3.69467955 3.7004397
 3.70612445 3.71173576 3.71727548 3.72274544 3.72814735 3.7334829
 3.73875369 3.74396128 3.74910717 3.7541928  3.75921956 3.7641888
 3.76910183 3.7739599  3.77876423 3.78351599 3.78821632 3.79286633
 3.79746707 3.80201959 3.80652488 3.81098391 3.81539763 3.81976694
 3.82409273 3.82837585 3.83261715 3.83681743 3.84097747 3.84509804]","[0.0, 0.0, 0.0, 0.0, 0.0, -0.345559298992157, -6.1100311279296875, 7.0910420417785645, 1.4108288288116455, -1.3958165645599365, -4.933147430419922, -4.810398101806641, -0.9773952960968018, 4.047299385070801, -1.2122066020965576, -0.35108646750450134, -1.932116150856018, -0.11508069932460785, -0.37959420680999756, 0.010965215973556042, 0.23586861789226532, 0.8818399310112, 0.21082152426242828, -1.5093084573745728, 1.5597683191299438, -0.3235766887664795, 0.7043061256408691, 5.160803318023682, -0.07643850147724152, 1.0436937808990479, -1.5251786708831787, 162.07081604003906]",0.43601322,GALAXY
1237667322176143497,166.838809064646,25.58933544831469,"[0.2240105  0.24503234 0.         0.25334419 0.26160818 0.19717107
 0.16033498 0.39252882 0.33851173 0.3660104  0.19549959 0.21414266
 0.4189805  0.45695911 0.45746967 0.54582887 0.46355214 0.46987763
 0.43863125 0.60095248 0.64385503 0.70944551 0.64479121 0.80886458
 0.69738249 0.89325968 0.89360524 0.71924557 0.80189209 0.76727715
 0.7328565  0.67689253 0.81274482 0.84641346 0.86531056 0.87238266
 0.76474748 0.94855166 0.84823112 0.82966448 0.96040437 1.
 0.79693204 0.87293864 0.87892119 0.89786327 0.92853523 0.83848681
 0.83254381 0.90572537 0.90298027 0.9695974  0.85566328 0.69924859
 0.79060035 0.88208842 0.82825939 0.80232085 0.76759367 0.90742688]","[3100.         3166.10169492 3232.20338983 3298.30508475 3364.40677966
 3430.50847458 3496.61016949 3562.71186441 3628.81355932 3694.91525424
 3761.01694915 3827.11864407 3893.22033898 3959.3220339  4025.42372881
 4091.52542373 4157.62711864 4223.72881356 4289.83050847 4355.93220339
 4422.03389831 4488.13559322 4554.23728814 4620.33898305 4686.44067797
 4752.54237288 4818.6440678  4884.74576271 4950.84745763 5016.94915254
 5083.05084746 5149.15254237 5215.25423729 5281.3559322  5347.45762712
 5413.55932203 5479.66101695 5545.76271186 5611.86440678 5677.96610169
 5744.06779661 5810.16949153 5876.27118644 5942.37288136 6008.47457627
 6074.57627119 6140.6779661  6206.77966102 6272.88135593 6338.98305085
 6405.08474576 6471.18644068 6537.28813559 6603.38983051 6669.49152542
 6735.59322034 6801.69491525 6867.79661017 6933.89830508 7000.        ]","[3.49136169 3.50052486 3.50949868 3.51829082 3.5269085  3.5353585
 3.54364722 3.5517807  3.55976466 3.56760448 3.57530529 3.58287193
 3.59030898 3.59762083 3.6048116  3.61188525 3.61884554 3.62569603
 3.63244013 3.63908111 3.64562207 3.65206597 3.65841565 3.66467384
 3.67084312 3.676926   3.68292485 3.68884196 3.69467955 3.7004397
 3.70612445 3.71173576 3.71727548 3.72274544 3.72814735 3.7334829
 3.73875369 3.74396128 3.74910717 3.7541928  3.75921956 3.7641888
 3.76910183 3.7739599  3.77876423 3.78351599 3.78821632 3.79286633
 3.79746707 3.80201959 3.80652488 3.81098391 3.81539763 3.81976694
 3.82409273 3.82837585 3.83261715 3.83681743 3.84097747 3.84509804]","[0.0, 0.0, 0.0, 0.0, 0.0, -7.141684055328369, 5.227380752563477, -4.221295356750488, 2.332881212234497, 0.13172119855880737, -3.4598090648651123, -3.403381824493408, -1.5634973049163818, -0.15929041802883148, 0.27607178688049316, -0.5164319276809692, 0.705152690410614, 0.054592493921518326, 0.17889270186424255, 0.08384940028190613, 0.13940833508968353, 0.5411006212234497, -0.6081865429878235, -0.24728961288928986, -0.9096569418907166, -0.405448853969574, 0.7366957068443298, 1.552390694618225, 1.5039973258972168, -0.1694669872522354, 1.9587076902389526, 0.5670713186264038]",0.3131516,GALAXY
1237667429030953133,167.12080252906858,25.428866698777433,"[0.         0.17862521 0.14438201 0.3314049  0.22502439 0.37269802
 0.39577513 0.31132015 0.49214029 0.32125578 0.31663415 0.22371262
 0.34203999 0.45380973 0.60355857 0.52944962 0.58448036 0.62870868
 0.55873753 0.67103216 0.63665825 0.86002782 0.70001021 0.7579169
 0.77976799 0.84689759 0.72781772 0.78832235 0.78751032 0.73361206
 0.74593192 0.70364687 0.75439296 0.81765149 0.8329354  0.847219
 0.81565834 0.89101445 0.84478653 0.85727243 1.         0.89344483
 0.82501187 0.91181603 0.8667087  0.91414859 0.85774202 0.68462574
 0.79434652 0.81785929 0.84205915 0.87504991 0.86529661 0.81026992
 0.79747735 0.82237718 0.73837124 0.86702486 0.96719597 0.9113692 ]","[3100.         3166.10169492 3232.20338983 3298.30508475 3364.40677966
 3430.50847458 3496.61016949 3562.71186441 3628.81355932 3694.91525424
 3761.01694915 3827.11864407 3893.22033898 3959.3220339  4025.42372881
 4091.52542373 4157.62711864 4223.72881356 4289.83050847 4355.93220339
 4422.03389831 4488.13559322 4554.23728814 4620.33898305 4686.44067797
 4752.54237288 4818.6440678  4884.74576271 4950.84745763 5016.94915254
 5083.05084746 5149.15254237 5215.25423729 5281.3559322  5347.45762712
 5413.55932203 5479.66101695 5545.76271186 5611.86440678 5677.96610169
 5744.06779661 5810.16949153 5876.27118644 5942.37288136 6008.47457627
 6074.57627119 6140.6779661  6206.77966102 6272.88135593 6338.98305085
 6405.08474576 6471.18644068 6537.28813559 6603.38983051 6669.49152542
 6735.59322034 6801.69491525 6867.79661017 6933.89830508 7000.        ]","[3.49136169 3.50052486 3.50949868 3.51829082 3.5269085  3.5353585
 3.54364722 3.5517807  3.55976466 3.56760448 3.57530529 3.58287193
 3.59030898 3.59762083 3.6048116  3.61188525 3.61884554 3.62569603
 3.63244013 3.63908111 3.64562207 3.65206597 3.65841565 3.66467384
 3.67084312 3.676926   3.68292485 3.68884196 3.69467955 3.7004397
 3.70612445 3.71173576 3.71727548 3.72274544 3.72814735 3.7334829
 3.73875369 3.74396128 3.74910717 3.7541928  3.75921956 3.7641888
 3.76910183 3.7739599  3.77876423 3.78351599 3.78821632 3.79286633
 3.79746707 3.80201959 3.80652488 3.81098391 3.81539763 3.81976694
 3.82409273 3.82837585 3.83261715 3.83681743 3.84097747 3.84509804]","[0.0, 0.0, 0.0, 0.0, 0.0, -0.7828373312950134, -0.04719199612736702, -0.014268351718783379, -0.5004199743270874, -1.021493911743164, -2.138378620147705, -2.0934653282165527, -0.5490210652351379, 0.0387260727584362, 0.041635580360889435, 6.67911958694458, 0.07011708617210388, 0.15946117043495178, 0.5313223004341125, 0.008384834975004196, -0.4966106116771698, -0.1531255692243576, -0.14493924379348755, -0.5725647807121277, -0.7607969045639038, -0.2701773941516876, 0.814539909362793, 2.8694710731506348, 0.6713277101516724, -0.12222139537334442, 0.2406601756811142, 0.028942909091711044]",0.3454448,GALAXY
1237667429030822427,166.87789425648563,25.4213395106469,"[0.         0.0492109  0.183298   0.21754044 0.17717798 0.35952933
 0.11870376 0.13739676 0.30613913 0.32843471 0.25369941 0.21295104
 0.29792287 0.74969149 0.46385544 0.61682274 0.42920981 0.53280034
 0.42831765 0.44176716 0.67857835 0.6710955  0.77082521 0.91411798
 0.95538915 0.82928154 0.75598541 0.67354419 1.         0.73087876
 0.77173321 0.80685892 0.69556611 0.74650465 0.69866097 0.80568858
 0.77471444 0.89923891 0.7854927  0.92263074 0.80427852 0.87366481
 0.89083488 0.75733279 0.91767045 0.85230287 0.82297369 0.84486542
 0.62056121 0.96492323 0.8056872  0.83071714 0.78313669 0.72453484
 0.82888047 0.74702696 0.80552401 0.80452828 0.85180486 0.65581996]","[3100.         3166.10169492 3232.20338983 3298.30508475 3364.40677966
 3430.50847458 3496.61016949 3562.71186441 3628.81355932 3694.91525424
 3761.01694915 3827.11864407 3893.22033898 3959.3220339  4025.42372881
 4091.52542373 4157.62711864 4223.72881356 4289.83050847 4355.93220339
 4422.03389831 4488.13559322 4554.23728814 4620.33898305 4686.44067797
 4752.54237288 4818.6440678  4884.74576271 4950.84745763 5016.94915254
 5083.05084746 5149.15254237 5215.25423729 5281.3559322  5347.45762712
 5413.55932203 5479.66101695 5545.76271186 5611.86440678 5677.96610169
 5744.06779661 5810.16949153 5876.27118644 5942.37288136 6008.47457627
 6074.57627119 6140.6779661  6206.77966102 6272.88135593 6338.98305085
 6405.08474576 6471.18644068 6537.28813559 6603.38983051 6669.49152542
 6735.59322034 6801.69491525 6867.79661017 6933.89830508 7000.        ]","[3.49136169 3.50052486 3.50949868 3.51829082 3.5269085  3.5353585
 3.54364722 3.5517807  3.55976466 3.56760448 3.57530529 3.58287193
 3.59030898 3.59762083 3.6048116  3.61188525 3.61884554 3.62569603
 3.63244013 3.63908111 3.64562207 3.65206597 3.65841565 3.66467384
 3.67084312 3.676926   3.68292485 3.68884196 3.69467955 3.7004397
 3.70612445 3.71173576 3.71727548 3.72274544 3.72814735 3.7334829
 3.73875369 3.74396128 3.74910717 3.7541928  3.75921956 3.7641888
 3.76910183 3.7739599  3.77876423 3.78351599 3.78821632 3.79286633
 3.79746707 3.80201959 3.80652488 3.81098391 3.81539763 3.81976694
 3.82409273 3.82837585 3.83261715 3.83681743 3.84097747 3.84509804]","[0.0, 0.0, 0.0, 0.0, 0.0, 56.59571838378906, 27.760204315185547, -20.704151153564453, -2.8665969371795654, -3.333899736404419, -6.822780609130859, -6.762992858886719, -3.149081230163574, -1.2274168729782104, -0.8778164386749268, -0.4693164527416229, -1.8765217065811157, 0.03694799914956093, 0.12224741280078888, 1.3857548236846924, 0.4478629231452942, 0.12437983602285385, 0.1123322919011116, -1.0961616039276123, 2.1211535930633545, 0.029478728771209717, 0.27170833945274353, -0.012372205965220928, 0.7832143306732178, 9.283520698547363, -3.5531086921691895, 10.038680076599121]",0.40919596,GALAXY
